id,municities,npss_irri,vs_irri,rs_irri,ms_irri,total_irri,npss_rain,vs_rain,rs_rain,ms_rain,total_rain,npss_up,vs_up,rs_up,ms_up,total_up,npss_gt,vs_gt,rs_gt,ms_gt,total_gt
408,Bato,81.91158272,56.17929868,3.872752666,6.560255292,148.5238894,16.29341953,17.25339222,2.673079022,3.426212658,39.64610343,0,0,0,0,0,98.20500224,73.4326909,6.545831688,9.98646795,188.1699928
409,Caramoran,67.34088083,0,0,0,67.34088083,0.076274486,0.802328127,2.025611952,2.599116622,5.503331187,0,0,0,0,0,67.41715532,0.802328127,2.025611952,2.599116622,72.84421202
410,Gigmoto,33.96933948,0,0,0,33.96933948,1.732945852,0.739720843,0,0,2.472666695,0,0,0,0,0,35.70228534,0.739720843,0,0,36.44200618
411,Pandan,28.5567112,8.326978421,0.980935263,3.503340224,41.36796511,34.85428662,3.134957394,0.793439089,1.025536626,39.80821973,0,0,0,0,0,63.41099782,11.46193582,1.774374351,4.52887685,81.17618484
412,Panganiban,116.0247391,77.07629859,1.575145756,2.411681271,197.0878647,50.90252067,51.19531999,3.703356636,4.321114627,110.1223119,0,0,0,0,0,166.9272597,128.2716186,5.278502392,6.732795898,307.2101766
413,San Andres,22.24906738,6.38347168,1.681347656,4.371503906,34.68539063,9.600678711,10.12808838,4.530871582,5.786923828,30.0465625,0,0,0,0,0,31.84974609,16.51156006,6.212219238,10.15842773,64.73195313
414,San Miguel,37.22031704,27.78571923,11.93634053,12.82698506,89.76936186,175.4671226,1.009673407,1.051113782,0.508563003,178.0364728,32.25,0,0,0,32.25,244.9374397,28.79539264,12.98745431,13.33554806,300.0558347
415,Viga,105.8402058,3.318940721,4.179116346,8.878202498,122.2164654,146.0159696,2.512569116,4.2078595,5.422519906,158.1589181,0,0,0,0,0,251.8561754,5.831509837,8.386975845,14.3007224,280.3753835
416,Virac,7.555061019,10.78015378,11.32148181,29.96464995,59.62134655,4.740637069,10.33474486,15.24104924,11.27388289,41.59031406,0.84,0,0,0.223125,1.063125,13.13569809,21.11489864,26.56253104,41.46165784,102.2747856
929,Aroroy,0.309609907,3.09909304,13.97593087,279.1869108,296.5715446,0,0,0,0.030982849,0.030982849,0,0,0,3.765811345,3.765811345,0.309609907,3.09909304,13.97593087,282.983705,300.3683388
930,Baleno,20.47125143,4.499017909,19.38543097,137.1693129,181.5250133,0.410477688,3.922416732,9.714861755,12.40584542,26.4536016,0,0,0,0,0,20.88172912,8.421434641,29.10029273,149.5751584,207.9786149
931,Balud,3.496309477,28.26046534,100.6060694,665.1490603,797.5119045,0.266418457,3.463439941,9.058227539,11.72241211,24.51049805,0,0,0,13.93327677,13.93327677,3.762727934,31.72390528,109.6642969,690.8047492,835.9556794
932,Batuan,0.022962662,0.290267682,1.703964824,143.1888729,145.206068,0.015778356,0.205951186,0.538961779,0.697577897,1.458269218,0,0,0,0,0,0.038741017,0.496218868,2.242926603,143.8864508,146.6643372
933,Cataingan,34.90869166,63.37329517,53.91940864,563.7183731,715.9197685,179.9539767,207.233016,70.92916439,87.30025023,545.4164073,15,0,0,7.660556818,22.66055682,229.8626684,270.6063112,124.848573,658.6791801,1283.996733
934,Cawayan,79.43828663,135.5362958,149.5604826,706.1413445,1070.67641,0.053351891,0.749008841,1.980267065,2.569220231,5.351848029,0,0,0,2.642154724,2.642154724,79.49163852,136.2853046,151.5407497,711.3527194,1078.670412
935,Claveria,,0.004880348,0.049837421,26.74917403,26.8038918,0,0,0,0,0,0,0,0,0,0,0,0.004880348,0.049837421,26.74917403,26.8038918
